CONTROL,,,,,CS,,,,,CS+DEX,,,,,,AIRE's output:,,,,,,,,,,,,
ID,Image,AIRE,Lm (examiners 1+2+3/3),,ID,Image,AIRE,Lm (examiners 1+2+3/3),,ID,Image,AIRE,Lm (examiners 1+2+3/3),,,,,,,,,,,,,,,
39,39.01,38.5,33.75,,45,45.01,42.04,52.41,,70,70.01,38.3,39.11,,,Label,Airspace count,Mean Airspace Area (µm²),Mean Airspace Diameter (µm),Execution time (s),,Lm,AIRE,Diff (Lm - AIRE),,Pearson's r,,
,,,,,,,,,,,,,,,53,47.04.jpg,13,5411.684,83.008,4.328,,67.70668221,83.008,-15.3,,,,
,,,,,,,,,,,,,,,54,47.05.jpg,11,4045.061,71.766,4.343,,54.75542909,71.766,-17.01,,,,
,,,,,,,,,,,,,,,55,47.06.jpg,18,4120.405,72.431,4.391,,52.50306112,72.431,-19.93,,,,
,,,,,,,,,,,,,,,56,47.07.jpg,7,2258.756,53.628,4.344,,50.25103933,53.628,-3.38,,,,
,,,,,,,,,,,,,,,57,47.08.jpg,26,2922.32,60.998,4.281,,48.50741037,60.998,-12.49,,,,
,,,,,,,,,,,,,,,58,47.09.jpg,18,4855.153,78.624,4.344,,49.38906726,78.624,-29.23,,,,
,,,,,,,,,,,,,,,59,47.10.jpg,19,3099.363,62.819,4.265,,49.60223604,62.819,-13.22,,,,
,,,,,,,,,,,,,,,60,70.01.jpg,32,1155.935,38.364,4.391,,39.10700478,38.364,0.74,,,,
,,,,,,,,,,,,,,,61,70.02.jpg,28,752.357,30.95,4.453,,39.46352856,30.95,8.51,,,,
,,,,,,,,,,,,,,,62,70.03.jpg,29,814.016,32.194,4.453,,38.60792508,32.194,6.41,,,,
,,,,,,,,,,,,,,,63,70.04.jpg,30,1134.801,38.011,4.391,,41.31974885,38.011,3.31,,,,
,,,,,,,,,,,,,,,64,70.05.jpg,24,811.715,32.148,4.5,,41.10498575,32.148,8.96,,,,
,,,,,,,,,,,,,,,65,70.06.jpg,46,947.395,34.731,4.39,,34.37194069,34.731,-0.36,,,,
,,,,,,,,,,,,,,,66,70.07.jpg,22,751.568,30.934,4.421,,43.25333762,30.934,12.32,,,,
,,,,,,,,,,,,,,,67,70.08.jpg,37,839.742,32.699,4.453,,34.9168289,32.699,2.22,,,,
,,,,,,,,,,,,,,,68,70.09.jpg,27,1189.159,38.911,4.328,,41.89295033,38.911,2.98,,,,
,,,,,,,,,,,,,,,69,70.10.jpg,33,673.139,29.276,4.375,,40.34072451,29.276,11.06,,,,
,,,,,,,,,,,,,,,70,71.01.jpg,20,1334.135,41.215,4.469,,36.49273564,41.215,-4.72,,,,
,,,,,,,,,,,,,,,71,71.02.jpg,23,1044.582,36.469,4.953,,40.08243241,36.469,3.61,,,,
,,,,,,,,,,,,,,,72,71.03.jpg,24,853.531,32.966,4.875,,35.20049283,32.966,2.23,,,,
,,,,,,,,,,,,,,,73,71.04.jpg,25,2021.056,50.728,4.937,,38.1805337,50.728,-12.55,,,,
,,,,,,,,,,,,,,,74,71.05.jpg,10,1133.592,37.991,4.327,,41.78770385,37.991,3.8,,,,
,,,,,,,,,,,,,,,75,71.06.jpg,19,810.538,32.125,4.375,,42.54363105,32.125,10.42,,,,
